class,cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8
priority,usual,proper,complete,1,critical,inconv,nonprob,priority
not_recom,usual,proper,complete,1,critical,inconv,nonprob,not_recom
very_recom,usual,proper,complete,1,critical,inconv,slightly_prob,recommended
priority,usual,proper,complete,1,critical,inconv,slightly_prob,priority
not_recom,usual,proper,complete,1,critical,inconv,slightly_prob,not_recom
priority,usual,proper,complete,1,critical,inconv,problematic,recommended
priority,usual,proper,complete,1,critical,inconv,problematic,priority
not_recom,usual,proper,complete,1,critical,inconv,problematic,not_recom
very_recom,usual,proper,complete,2,convenient,convenient,nonprob,recommended
priority,usual,proper,complete,2,convenient,convenient,nonprob,priority
not_recom,usual,proper,complete,2,convenient,convenient,nonprob,not_recom
very_recom,usual,proper,complete,2,convenient,convenient,slightly_prob,recommended
priority,usual,proper,complete,2,convenient,convenient,slightly_prob,priority
not_recom,usual,proper,complete,2,convenient,convenient,slightly_prob,not_recom
priority,usual,proper,complete,2,convenient,convenient,problematic,recommended
priority,usual,proper,complete,2,convenient,convenient,problematic,priority
not_recom,usual,proper,complete,2,convenient,convenient,problematic,not_recom
very_recom,usual,proper,complete,2,convenient,inconv,nonprob,recommended
priority,usual,proper,complete,2,convenient,inconv,nonprob,priority
not_recom,usual,proper,complete,2,convenient,inconv,nonprob,not_recom
very_recom,usual,proper,complete,2,convenient,inconv,slightly_prob,recommended
priority,usual,proper,complete,2,convenient,inconv,slightly_prob,priority
not_recom,usual,proper,complete,2,convenient,inconv,slightly_prob,not_recom
priority,usual,proper,complete,2,convenient,inconv,problematic,recommended
priority,usual,proper,complete,2,convenient,inconv,problematic,priority
not_recom,usual,proper,complete,2,convenient,inconv,problematic,not_recom
very_recom,usual,proper,complete,2,less_conv,convenient,nonprob,recommended
priority,usual,proper,complete,2,less_conv,convenient,nonprob,priority
not_recom,usual,proper,complete,2,less_conv,convenient,nonprob,not_recom
very_recom,usual,proper,complete,2,less_conv,convenient,slightly_prob,recommended
priority,usual,proper,complete,2,less_conv,convenient,slightly_prob,priority
not_recom,usual,proper,complete,2,less_conv,convenient,slightly_prob,not_recom
priority,usual,proper,complete,2,less_conv,convenient,problematic,recommended
priority,usual,proper,complete,2,less_conv,convenient,problematic,priority
not_recom,usual,proper,complete,2,less_conv,convenient,problematic,not_recom
very_recom,usual,proper,complete,2,less_conv,inconv,nonprob,recommended
priority,usual,proper,complete,2,less_conv,inconv,nonprob,priority
not_recom,usual,proper,complete,2,less_conv,inconv,nonprob,not_recom
very_recom,usual,proper,complete,2,less_conv,inconv,slightly_prob,recommended
priority,usual,proper,complete,2,less_conv,inconv,slightly_prob,priority
not_recom,usual,proper,complete,2,less_conv,inconv,slightly_prob,not_recom
priority,usual,proper,complete,2,less_conv,inconv,problematic,recommended
priority,usual,proper,complete,2,less_conv,inconv,problematic,priority
not_recom,usual,proper,complete,2,less_conv,inconv,problematic,not_recom
priority,usual,proper,complete,2,critical,convenient,nonprob,recommended
priority,usual,proper,complete,2,critical,convenient,nonprob,priority
not_recom,usual,proper,complete,2,critical,convenient,nonprob,not_recom
priority,usual,proper,complete,2,critical,convenient,slightly_prob,recommended
priority,usual,proper,complete,2,critical,convenient,slightly_prob,priority
not_recom,usual,proper,complete,2,critical,convenient,slightly_prob,not_recom
priority,usual,proper,complete,2,critical,convenient,problematic,recommended
priority,usual,proper,complete,2,critical,convenient,problematic,priority
not_recom,usual,proper,complete,2,critical,convenient,problematic,not_recom
priority,usual,proper,complete,2,critical,inconv,nonprob,recommended
priority,usual,proper,complete,2,critical,inconv,nonprob,priority
not_recom,usual,proper,complete,2,critical,inconv,nonprob,not_recom
priority,usual,proper,complete,2,critical,inconv,slightly_prob,recommended
priority,usual,proper,complete,2,critical,inconv,slightly_prob,priority
not_recom,usual,proper,complete,2,critical,inconv,slightly_prob,not_recom
priority,usual,proper,complete,2,critical,inconv,problematic,recommended
priority,usual,proper,complete,2,critical,inconv,problematic,priority
not_recom,usual,proper,complete,2,critical,inconv,problematic,not_recom
very_recom,usual,proper,complete,3,convenient,convenient,nonprob,recommended
priority,usual,proper,complete,3,convenient,convenient,nonprob,priority
not_recom,usual,proper,complete,3,convenient,convenient,nonprob,not_recom
very_recom,usual,proper,complete,3,convenient,convenient,slightly_prob,recommended
priority,usual,proper,complete,3,convenient,convenient,slightly_prob,priority
not_recom,usual,proper,complete,3,convenient,convenient,slightly_prob,not_recom
priority,usual,proper,complete,3,convenient,convenient,problematic,recommended
priority,usual,proper,complete,3,convenient,convenient,problematic,priority
not_recom,usual,proper,complete,3,convenient,convenient,problematic,not_recom
priority,usual,proper,complete,3,convenient,inconv,nonprob,recommended
priority,usual,proper,complete,3,convenient,inconv,nonprob,priority
not_recom,usual,proper,complete,3,convenient,inconv,nonprob,not_recom
priority,usual,proper,complete,3,convenient,inconv,slightly_prob,recommended
priority,usual,proper,complete,3,convenient,inconv,slightly_prob,priority
not_recom,usual,proper,complete,3,convenient,inconv,slightly_prob,not_recom
priority,usual,proper,complete,3,convenient,inconv,problematic,recommended
priority,usual,proper,complete,3,convenient,inconv,problematic,priority
not_recom,usual,proper,complete,3,convenient,inconv,problematic,not_recom
priority,usual,proper,complete,3,less_conv,convenient,nonprob,recommended
priority,usual,proper,complete,3,less_conv,convenient,nonprob,priority
not_recom,usual,proper,complete,3,less_conv,convenient,nonprob,not_recom
priority,usual,proper,complete,3,less_conv,convenient,slightly_prob,recommended
priority,usual,proper,complete,3,less_conv,convenient,slightly_prob,priority
not_recom,usual,proper,complete,3,less_conv,convenient,slightly_prob,not_recom
priority,usual,proper,complete,3,less_conv,convenient,problematic,recommended
priority,usual,proper,complete,3,less_conv,convenient,problematic,priority
not_recom,usual,proper,complete,3,less_conv,convenient,problematic,not_recom
priority,usual,proper,complete,3,less_conv,inconv,nonprob,recommended
priority,usual,proper,complete,3,less_conv,inconv,nonprob,priority
not_recom,usual,proper,complete,3,less_conv,inconv,nonprob,not_recom
priority,usual,proper,complete,3,less_conv,inconv,slightly_prob,recommended
priority,usual,proper,complete,3,less_conv,inconv,slightly_prob,priority
not_recom,usual,proper,complete,3,less_conv,inconv,slightly_prob,not_recom
priority,usual,proper,complete,3,less_conv,inconv,problematic,recommended
priority,usual,proper,complete,3,less_conv,inconv,problematic,priority
not_recom,usual,proper,complete,3,less_conv,inconv,problematic,not_recom
priority,usual,proper,complete,3,critical,convenient,nonprob,recommended
priority,usual,proper,complete,3,critical,convenient,nonprob,priority
not_recom,usual,proper,complete,3,critical,convenient,nonprob,not_recom
priority,usual,proper,complete,3,critical,convenient,slightly_prob,recommended
priority,usual,proper,complete,3,critical,convenient,slightly_prob,priority
not_recom,usual,proper,complete,3,critical,convenient,slightly_prob,not_recom
priority,usual,proper,complete,3,critical,convenient,problematic,recommended
priority,usual,proper,complete,3,critical,convenient,problematic,priority
not_recom,usual,proper,complete,3,critical,convenient,problematic,not_recom
priority,usual,proper,complete,3,critical,inconv,nonprob,recommended
priority,usual,proper,complete,3,critical,inconv,nonprob,priority
not_recom,usual,proper,complete,3,critical,inconv,nonprob,not_recom
priority,usual,proper,complete,3,critical,inconv,slightly_prob,recommended
priority,usual,proper,complete,3,critical,inconv,slightly_prob,priority
not_recom,usual,proper,complete,3,critical,inconv,slightly_prob,not_recom
priority,usual,proper,complete,3,critical,inconv,problematic,recommended
priority,usual,proper,complete,3,critical,inconv,problematic,priority
not_recom,usual,proper,complete,3,critical,inconv,problematic,not_recom
very_recom,usual,proper,complete,4,convenient,convenient,nonprob,recommended
priority,usual,proper,complete,4,convenient,convenient,nonprob,priority
not_recom,usual,proper,complete,4,convenient,convenient,nonprob,not_recom
very_recom,usual,proper,complete,4,convenient,convenient,slightly_prob,recommended
priority,usual,proper,complete,4,convenient,convenient,slightly_prob,priority
not_recom,usual,proper,complete,4,convenient,convenient,slightly_prob,not_recom
priority,usual,proper,complete,4,convenient,convenient,problematic,recommended
priority,usual,proper,complete,4,convenient,convenient,problematic,priority
not_recom,usual,proper,complete,4,convenient,convenient,problematic,not_recom
priority,usual,proper,complete,4,convenient,inconv,nonprob,recommended
priority,usual,proper,complete,4,convenient,inconv,nonprob,priority
not_recom,usual,proper,complete,4,convenient,inconv,nonprob,not_recom
priority,usual,proper,complete,4,convenient,inconv,slightly_prob,recommended
priority,usual,proper,complete,4,convenient,inconv,slightly_prob,priority
not_recom,usual,proper,complete,4,convenient,inconv,slightly_prob,not_recom
priority,usual,proper,complete,4,convenient,inconv,problematic,recommended
priority,usual,proper,complete,4,convenient,inconv,problematic,priority
not_recom,usual,proper,complete,4,convenient,inconv,problematic,not_recom
priority,usual,proper,complete,4,less_conv,convenient,nonprob,recommended
priority,usual,proper,complete,4,less_conv,convenient,nonprob,priority
not_recom,usual,proper,complete,4,less_conv,convenient,nonprob,not_recom
priority,usual,proper,complete,4,less_conv,convenient,slightly_prob,recommended
priority,usual,proper,complete,4,less_conv,convenient,slightly_prob,priority
not_recom,usual,proper,complete,4,less_conv,convenient,slightly_prob,not_recom
priority,usual,proper,complete,4,less_conv,convenient,problematic,recommended
priority,usual,proper,complete,4,less_conv,convenient,problematic,priority
not_recom,usual,proper,complete,4,less_conv,convenient,problematic,not_recom
priority,usual,proper,complete,4,less_conv,inconv,nonprob,recommended
priority,usual,proper,complete,4,less_conv,inconv,nonprob,priority
not_recom,usual,proper,complete,4,less_conv,inconv,nonprob,not_recom
priority,usual,proper,complete,4,less_conv,inconv,slightly_prob,recommended
priority,usual,proper,complete,4,less_conv,inconv,slightly_prob,priority
not_recom,usual,proper,complete,4,less_conv,inconv,slightly_prob,not_recom
priority,usual,proper,complete,4,less_conv,inconv,problematic,recommended
priority,usual,proper,complete,4,less_conv,inconv,problematic,priority
not_recom,usual,proper,complete,4,less_conv,inconv,problematic,not_recom
priority,usual,proper,complete,4,critical,convenient,nonprob,recommended
priority,usual,proper,complete,4,critical,convenient,nonprob,priority
not_recom,usual,proper,complete,4,critical,convenient,nonprob,not_recom
priority,usual,proper,complete,4,critical,convenient,slightly_prob,recommended
priority,usual,proper,complete,4,critical,convenient,slightly_prob,priority
not_recom,usual,proper,complete,4,critical,convenient,slightly_prob,not_recom
priority,usual,proper,complete,4,critical,convenient,problematic,recommended
priority,usual,proper,complete,4,critical,convenient,problematic,priority
not_recom,usual,proper,complete,4,critical,convenient,problematic,not_recom
priority,usual,proper,complete,4,critical,inconv,nonprob,recommended
priority,usual,proper,complete,4,critical,inconv,nonprob,priority
not_recom,usual,proper,complete,4,critical,inconv,nonprob,not_recom
priority,usual,proper,complete,4,critical,inconv,slightly_prob,recommended
priority,usual,proper,complete,4,critical,inconv,slightly_prob,priority
not_recom,usual,proper,complete,4,critical,inconv,slightly_prob,not_recom
priority,usual,proper,complete,4,critical,inconv,problematic,recommended
priority,usual,proper,complete,4,critical,inconv,problematic,priority
not_recom,usual,proper,complete,4,critical,inconv,problematic,not_recom
very_recom,usual,proper,completed,1,convenient,convenient,nonprob,recommended
priority,usual,proper,completed,1,convenient,convenient,nonprob,priority
not_recom,usual,proper,completed,1,convenient,convenient,nonprob,not_recom
very_recom,usual,proper,completed,1,convenient,convenient,slightly_prob,recommended
priority,usual,proper,completed,1,convenient,convenient,slightly_prob,priority
not_recom,usual,proper,completed,1,convenient,convenient,slightly_prob,not_recom
priority,usual,proper,completed,1,convenient,convenient,problematic,recommended
priority,usual,proper,completed,1,convenient,convenient,problematic,priority
not_recom,usual,proper,completed,1,convenient,convenient,problematic,not_recom
very_recom,usual,proper,completed,1,convenient,inconv,nonprob,recommended
priority,usual,proper,completed,1,convenient,inconv,nonprob,priority
not_recom,usual,proper,completed,1,convenient,inconv,nonprob,not_recom
very_recom,usual,proper,completed,1,convenient,inconv,slightly_prob,recommended
priority,usual,proper,completed,1,convenient,inconv,slightly_prob,priority
not_recom,usual,proper,completed,1,convenient,inconv,slightly_prob,not_recom
priority,usual,proper,completed,1,convenient,inconv,problematic,recommended
priority,usual,proper,completed,1,convenient,inconv,problematic,priority
not_recom,usual,proper,completed,1,convenient,inconv,problematic,not_recom
very_recom,usual,proper,completed,1,less_conv,convenient,nonprob,recommended
priority,usual,proper,completed,1,less_conv,convenient,nonprob,priority
not_recom,usual,proper,completed,1,less_conv,convenient,nonprob,not_recom
very_recom,usual,proper,completed,1,less_conv,convenient,slightly_prob,recommended
priority,usual,proper,completed,1,less_conv,convenient,slightly_prob,priority
not_recom,usual,proper,completed,1,less_conv,convenient,slightly_prob,not_recom
priority,usual,proper,completed,1,less_conv,convenient,problematic,recommended
priority,usual,proper,completed,1,less_conv,convenient,problematic,priority
not_recom,usual,proper,completed,1,less_conv,convenient,problematic,not_recom
very_recom,usual,proper,completed,1,less_conv,inconv,nonprob,recommended
priority,usual,proper,completed,1,less_conv,inconv,nonprob,priority
not_recom,usual,proper,completed,1,less_conv,inconv,nonprob,not_recom
very_recom,usual,proper,completed,1,less_conv,inconv,slightly_prob,recommended
priority,usual,proper,completed,1,less_conv,inconv,slightly_prob,priority
not_recom,usual,proper,completed,1,less_conv,inconv,slightly_prob,not_recom
priority,usual,proper,completed,1,less_conv,inconv,problematic,recommended
priority,usual,proper,completed,1,less_conv,inconv,problematic,priority
not_recom,usual,proper,completed,1,less_conv,inconv,problematic,not_recom
priority,usual,proper,completed,1,critical,convenient,nonprob,recommended
priority,usual,proper,completed,1,critical,convenient,nonprob,priority
not_recom,usual,proper,completed,1,critical,convenient,nonprob,not_recom
priority,usual,proper,completed,1,critical,convenient,slightly_prob,recommended
priority,usual,proper,completed,1,critical,convenient,slightly_prob,priority
not_recom,usual,proper,completed,1,critical,convenient,slightly_prob,not_recom
priority,usual,proper,completed,1,critical,convenient,problematic,recommended
priority,usual,proper,completed,1,critical,convenient,problematic,priority
not_recom,usual,proper,completed,1,critical,convenient,problematic,not_recom
priority,usual,proper,completed,1,critical,inconv,nonprob,recommended
priority,usual,proper,completed,1,critical,inconv,nonprob,priority
not_recom,usual,proper,completed,1,critical,inconv,nonprob,not_recom
priority,usual,proper,completed,1,critical,inconv,slightly_prob,recommended
priority,usual,proper,completed,1,critical,inconv,slightly_prob,priority
not_recom,usual,proper,completed,1,critical,inconv,slightly_prob,not_recom
priority,usual,proper,completed,1,critical,inconv,problematic,recommended
priority,usual,proper,completed,1,critical,inconv,problematic,priority
not_recom,usual,proper,completed,1,critical,inconv,problematic,not_recom
very_recom,usual,proper,completed,2,convenient,convenient,nonprob,recommended
priority,usual,proper,completed,2,convenient,convenient,nonprob,priority
not_recom,usual,proper,completed,2,convenient,convenient,nonprob,not_recom
very_recom,usual,proper,completed,2,convenient,convenient,slightly_prob,recommended
priority,usual,proper,completed,2,convenient,convenient,slightly_prob,priority
not_recom,usual,proper,completed,2,convenient,convenient,slightly_prob,not_recom
priority,usual,proper,completed,2,convenient,convenient,problematic,recommended
priority,usual,proper,completed,2,convenient,convenient,problematic,priority
not_recom,usual,proper,completed,2,convenient,convenient,problematic,not_recom
very_recom,usual,proper,completed,2,convenient,inconv,nonprob,recommended
priority,usual,proper,completed,2,convenient,inconv,nonprob,priority
not_recom,usual,proper,completed,2,convenient,inconv,nonprob,not_recom
very_recom,usual,proper,completed,2,convenient,inconv,slightly_prob,recommended
priority,usual,proper,completed,2,convenient,inconv,slightly_prob,priority
not_recom,usual,proper,completed,2,convenient,inconv,slightly_prob,not_recom
priority,usual,proper,completed,2,convenient,inconv,problematic,recommended
priority,usual,proper,completed,2,convenient,inconv,problematic,priority
not_recom,usual,proper,completed,2,convenient,inconv,problematic,not_recom
very_recom,usual,proper,completed,2,less_conv,convenient,nonprob,recommended
priority,usual,proper,completed,2,less_conv,convenient,nonprob,priority
not_recom,usual,proper,completed,2,less_conv,convenient,nonprob,not_recom
very_recom,usual,proper,completed,2,less_conv,convenient,slightly_prob,recommended
priority,usual,proper,completed,2,less_conv,convenient,slightly_prob,priority
not_recom,usual,proper,completed,2,less_conv,convenient,slightly_prob,not_recom
priority,usual,proper,completed,2,less_conv,convenient,problematic,recommended
priority,usual,proper,completed,2,less_conv,convenient,problematic,priority
not_recom,usual,proper,completed,2,less_conv,convenient,problematic,not_recom
very_recom,usual,proper,completed,2,less_conv,inconv,nonprob,recommended
priority,usual,proper,completed,2,less_conv,inconv,nonprob,priority
not_recom,usual,proper,completed,2,less_conv,inconv,nonprob,not_recom
very_recom,usual,proper,completed,2,less_conv,inconv,slightly_prob,recommended
priority,usual,proper,completed,2,less_conv,inconv,slightly_prob,priority
not_recom,usual,proper,completed,2,less_conv,inconv,slightly_prob,not_recom
priority,usual,proper,completed,2,less_conv,inconv,problematic,recommended
priority,usual,proper,completed,2,less_conv,inconv,problematic,priority
not_recom,usual,proper,completed,2,less_conv,inconv,problematic,not_recom
priority,usual,proper,completed,2,critical,convenient,nonprob,recommended
priority,usual,proper,completed,2,critical,convenient,nonprob,priority
not_recom,usual,proper,completed,2,critical,convenient,nonprob,not_recom
priority,usual,proper,completed,2,critical,convenient,slightly_prob,recommended
priority,usual,proper,completed,2,critical,convenient,slightly_prob,priority
not_recom,usual,proper,completed,2,critical,convenient,slightly_prob,not_recom
priority,usual,proper,completed,2,critical,convenient,problematic,recommended
priority,usual,proper,completed,2,critical,convenient,problematic,priority
not_recom,usual,proper,completed,2,critical,convenient,problematic,not_recom
priority,usual,proper,completed,2,critical,inconv,nonprob,recommended
priority,usual,proper,completed,2,critical,inconv,nonprob,priority
not_recom,usual,proper,completed,2,critical,inconv,nonprob,not_recom
priority,usual,proper,completed,2,critical,inconv,slightly_prob,recommended
priority,usual,proper,completed,2,critical,inconv,slightly_prob,priority
not_recom,usual,proper,completed,2,critical,inconv,slightly_prob,not_recom
priority,usual,proper,completed,2,critical,inconv,problematic,recommended
priority,usual,proper,completed,2,critical,inconv,problematic,priority
not_recom,usual,proper,completed,2,critical,inconv,problematic,not_recom
very_recom,usual,proper,completed,3,convenient,convenient,nonprob,recommended
priority,usual,proper,completed,3,convenient,convenient,nonprob,priority
not_recom,usual,proper,completed,3,convenient,convenient,nonprob,not_recom
very_recom,usual,proper,completed,3,convenient,convenient,slightly_prob,recommended
priority,usual,proper,completed,3,convenient,convenient,slightly_prob,priority
not_recom,usual,proper,completed,3,convenient,convenient,slightly_prob,not_recom
priority,usual,proper,completed,3,convenient,convenient,problematic,recommended
priority,usual,proper,completed,3,convenient,convenient,problematic,priority
not_recom,usual,proper,completed,3,convenient,convenient,problematic,not_recom
priority,usual,proper,completed,3,convenient,inconv,nonprob,recommended
priority,usual,proper,completed,3,convenient,inconv,nonprob,priority
not_recom,usual,proper,completed,3,convenient,inconv,nonprob,not_recom
priority,usual,proper,completed,3,convenient,inconv,slightly_prob,recommended
priority,usual,proper,completed,3,convenient,inconv,slightly_prob,priority
not_recom,usual,proper,completed,3,convenient,inconv,slightly_prob,not_recom
priority,usual,proper,completed,3,convenient,inconv,problematic,recommended
priority,usual,proper,completed,3,convenient,inconv,problematic,priority
not_recom,usual,proper,completed,3,convenient,inconv,problematic,not_recom
priority,usual,proper,completed,3,less_conv,convenient,nonprob,recommended
priority,usual,proper,completed,3,less_conv,convenient,nonprob,priority
not_recom,usual,proper,completed,3,less_conv,convenient,nonprob,not_recom
priority,usual,proper,completed,3,less_conv,convenient,slightly_prob,recommended
priority,usual,proper,completed,3,less_conv,convenient,slightly_prob,priority
not_recom,usual,proper,completed,3,less_conv,convenient,slightly_prob,not_recom
priority,usual,proper,completed,3,less_conv,convenient,problematic,recommended
priority,usual,proper,completed,3,less_conv,convenient,problematic,priority
not_recom,usual,proper,completed,3,less_conv,convenient,problematic,not_recom
priority,usual,proper,completed,3,less_conv,inconv,nonprob,recommended
priority,usual,proper,completed,3,less_conv,inconv,nonprob,priority
not_recom,usual,proper,completed,3,less_conv,inconv,nonprob,not_recom
priority,usual,proper,completed,3,less_conv,inconv,slightly_prob,recommended
priority,usual,proper,completed,3,less_conv,inconv,slightly_prob,priority
not_recom,usual,proper,completed,3,less_conv,inconv,slightly_prob,not_recom
priority,usual,proper,completed,3,less_conv,inconv,problematic,recommended
priority,usual,proper,completed,3,less_conv,inconv,problematic,priority
not_recom,usual,proper,completed,3,less_conv,inconv,problematic,not_recom
priority,usual,proper,completed,3,critical,convenient,nonprob,recommended
priority,usual,proper,completed,3,critical,convenient,nonprob,priority
not_recom,usual,proper,completed,3,critical,convenient,nonprob,not_recom
priority,usual,proper,completed,3,critical,convenient,slightly_prob,recommended
priority,usual,proper,completed,3,critical,convenient,slightly_prob,priority
not_recom,usual,proper,completed,3,critical,convenient,slightly_prob,not_recom
priority,usual,proper,completed,3,critical,convenient,problematic,recommended
priority,usual,proper,completed,3,critical,convenient,problematic,priority
not_recom,usual,proper,completed,3,critical,convenient,problematic,not_recom
priority,usual,proper,completed,3,critical,inconv,nonprob,recommended
priority,usual,proper,completed,3,critical,inconv,nonprob,priority
not_recom,usual,proper,completed,3,critical,inconv,nonprob,not_recom
priority,usual,proper,completed,3,critical,inconv,slightly_prob,recommended
priority,usual,proper,completed,3,critical,inconv,slightly_prob,priority
not_recom,usual,proper,completed,3,critical,inconv,slightly_prob,not_recom
priority,usual,proper,completed,3,critical,inconv,problematic,recommended
priority,usual,proper,completed,3,critical,inconv,problematic,priority
not_recom,usual,proper,completed,3,critical,inconv,problematic,not_recom
very_recom,usual,proper,completed,4,convenient,convenient,nonprob,recommended
priority,usual,proper,completed,4,convenient,convenient,nonprob,priority
not_recom,usual,proper,completed,4,convenient,convenient,nonprob,not_recom
very_recom,usual,proper,completed,4,convenient,convenient,slightly_prob,recommended
priority,usual,proper,completed,4,convenient,convenient,slightly_prob,priority
not_recom,usual,proper,completed,4,convenient,convenient,slightly_prob,not_recom
priority,usual,proper,completed,4,convenient,convenient,problematic,recommended
priority,usual,proper,completed,4,convenient,convenient,problematic,priority
not_recom,usual,proper,completed,4,convenient,convenient,problematic,not_recom
priority,usual,proper,completed,4,convenient,inconv,nonprob,recommended
priority,usual,proper,completed,4,convenient,inconv,nonprob,priority
not_recom,usual,proper,completed,4,convenient,inconv,nonprob,not_recom
priority,usual,proper,completed,4,convenient,inconv,slightly_prob,recommended
priority,usual,proper,completed,4,convenient,inconv,slightly_prob,priority
not_recom,usual,proper,completed,4,convenient,inconv,slightly_prob,not_recom
priority,usual,proper,completed,4,convenient,inconv,problematic,recommended
priority,usual,proper,completed,4,convenient,inconv,problematic,priority
not_recom,usual,proper,completed,4,convenient,inconv,problematic,not_recom
priority,usual,proper,completed,4,less_conv,convenient,nonprob,recommended
priority,usual,proper,completed,4,less_conv,convenient,nonprob,priority
not_recom,usual,proper,completed,4,less_conv,convenient,nonprob,not_recom
priority,usual,proper,completed,4,less_conv,convenient,slightly_prob,recommended
priority,usual,proper,completed,4,less_conv,convenient,slightly_prob,priority
not_recom,usual,proper,completed,4,less_conv,convenient,slightly_prob,not_recom
priority,usual,proper,completed,4,less_conv,convenient,problematic,recommended
priority,usual,proper,completed,4,less_conv,convenient,problematic,priority
not_recom,usual,proper,completed,4,less_conv,convenient,problematic,not_recom
priority,usual,proper,completed,4,less_conv,inconv,nonprob,recommended
priority,usual,proper,completed,4,less_conv,inconv,nonprob,priority
not_recom,usual,proper,completed,4,less_conv,inconv,nonprob,not_recom
priority,usual,proper,completed,4,less_conv,inconv,slightly_prob,recommended
priority,usual,proper,completed,4,less_conv,inconv,slightly_prob,priority
not_recom,usual,proper,completed,4,less_conv,inconv,slightly_prob,not_recom
priority,usual,proper,completed,4,less_conv,inconv,problematic,recommended
priority,usual,proper,completed,4,less_conv,inconv,problematic,priority
not_recom,usual,proper,completed,4,less_conv,inconv,problematic,not_recom
priority,usual,proper,completed,4,critical,convenient,nonprob,recommended
priority,usual,proper,completed,4,critical,convenient,nonprob,priority
not_recom,usual,proper,completed,4,critical,convenient,nonprob,not_recom
priority,usual,proper,completed,4,critical,convenient,slightly_prob,recommended
priority,usual,proper,completed,4,critical,convenient,slightly_prob,priority
not_recom,usual,proper,completed,4,critical,convenient,slightly_prob,not_recom
priority,usual,proper,completed,4,critical,convenient,problematic,recommended
priority,usual,proper,completed,4,critical,convenient,problematic,priority
not_recom,usual,proper,completed,4,critical,convenient,problematic,not_recom
priority,usual,proper,completed,4,critical,inconv,nonprob,recommended
priority,usual,proper,completed,4,critical,inconv,nonprob,priority
not_recom,usual,proper,completed,4,critical,inconv,nonprob,not_recom
priority,usual,proper,completed,4,critical,inconv,slightly_prob,recommended
priority,usual,proper,completed,4,critical,inconv,slightly_prob,priority
not_recom,usual,proper,completed,4,critical,inconv,slightly_prob,not_recom
priority,usual,proper,completed,4,critical,inconv,problematic,recommended
priority,usual,proper,completed,4,critical,inconv,problematic,priority
not_recom,usual,proper,completed,4,critical,inconv,problematic,not_recom
